,GLD,MDY,DBC,QQQ,SPY,TLT,VTV,VBR,PSQ
1/4/2007,61.64999,147.25999,23.17999,44.06,141.67,89.60001,67.81,71.28,246.59996
1/5/2007,60.17,145.33,23.2,43.85001,140.53999,89.22,67.28999,69.95,248.59996
1/8/2007,60.48,145.62,23.22,43.88,141.19,89.37,67.53,70.10001,247.71996
1/9/2007,60.85001,146.45,23.02,44.10001,141.07001,89.37,67.46001,70.33,246.71996
1/10/2007,60.59,147.46001,22.67999,44.62,141.53999,88.97,67.31,70.36,243.71996
1/11/2007,60.63,148.28,22.64999,45.08,142.16,88.45,67.75999,71.19,241.2
1/12/2007,62.17,149.86,23.17999,45.31,143.24001,88.03999,67.98,71.5,239.76
1/16/2007,61.97,148.86,22.64999,45.28,142.96001,88.2,67.92,71.34,240.2
1/17/2007,62.64,149.13,22.85001,44.91,143.02,87.96001,68.02,71.19,242.3596
1/18/2007,62.25999,147.77,22.61,44.08,142.53999,88.23,67.96001,70.66,247.03996
1/19/2007,63,148.5,22.95,44.17,142.82001,87.99001,68.25,71.09,247.40004
1/22/2007,62.72,148.08,22.97,43.69,142.38,88.2,67.92999,70.66,249.96004
1/23/2007,64.23,148.88,23.7,43.58,142.8,87.62,68.24001,71.24001,250.44
1/24/2007,64.33,150.45,23.5,44.3,143.95,87.61,68.57001,71.97,246.32
1/25/2007,64.06,149.09,23.28999,43.73,142.25999,86.98,68.10001,71.19,249.88
1/26/2007,64.10001,149.25,23.58,43.57001,142.16,86.91,68.10001,71.38,250.8
1/29/2007,63.77,150.14,23.10001,43.61,142.05,86.72,67.92999,71.92,250.56
1/30/2007,64.22,150.73,23.74001,43.63,142.78999,86.82001,68.41,72.39999,250.15996
1/31/2007,64.83,151.52,23.99001,44.07001,143.75,87.55,68.75999,72.53,248.24
2/1/2007,65.22,153.16,23.89999,44.02,144.61,87.09,69.35001,73.24001,249.12
2/2/2007,64.28,153.3,24.21001,44.16,144.81,87.2,69.50999,73.46001,247.8
2/5/2007,64.31,153.83,24.129,44.12,144.85001,87.32001,69.46001,73.21001,247.80156
2/6/2007,64.78999,154.36,24.0101,44.05,144.89,87.8,69.60001,73.8,248.40004
2/7/2007,64.63,155.2,23.72,44.46001,145.21001,88.06,69.61,74.19,245.03996
2/8/2007,65.52,155.08,24.27,44.45,145.02,88.13,69.44,74.23,245.92
2/9/2007,66.12,154.41,24.42,43.84,143.94,87.63,69.08,73.67,249.48
2/12/2007,65.67,153.59,23.96001,43.7,143.45,87.42999,68.75,73.28,250.8
2/13/2007,65.84,154.98,24.39999,43.86,144.66,87.24001,69.524,74.06,249.56
2/14/2007,66.37,156.08,24.07001,44.60001,145.61,88.07001,69.96001,74.00999,245.68
2/15/2007,66.41,156.11,24.07001,44.86,145.8,88.33,69.95,74.13,244.48
2/16/2007,66.36,156.41,24.49001,44.71001,145.73,88.64,69.95,74.35001,244.71996
2/20/2007,65.31,157.45,24.22,45.05,146.03999,88.84,70.10001,74.85001,243.32
2/21/2007,67.28,157.88,24.74001,45.19,145.98,88.69,69.95,74.94,242.52
2/22/2007,67.14999,158.62,25.08,45.42,145.87,88.21001,69.84,75.06,241.44
2/23/2007,67.72,158.02,25.24001,45.25999,145.3,88.84,69.58,74.61,242.45
2/26/2007,68.10001,157.89999,25.31,45.03999,145.17,89.42999,69.67999,74.41,243.92
2/27/2007,65.41,152.14,24.83,43.19,139.5,90.56,67.11,71.5,255.15996
2/28/2007,66.48,153.14999,25.28999,43.33,140.92999,90.14999,67.67,72.10001,253.68
3/1/2007,65.82001,152.56,25.03,43.13,140.50999,89.74001,67.53999,71.97,255.48
3/2/2007,63.71001,149.86,24.8,42.48,138.67,90.2,66.77,70.74001,259.08
3/5/2007,62.92999,146.81,24.42999,42.14999,137.35001,90.35001,66.10001,69.27,261.40004
3/6/2007,64.14999,149.45,24.66,42.85001,139.7,90.08,67.10001,70.75,257.11964
3/7/2007,64.3,150.28999,25,42.67999,139.56,90.42999,66.97,70.61,258.03996
3/8/2007,64.48,151.77,25.03999,42.97,140.74001,90.35001,67.39999,71.14999,255.84004
3/9/2007,64.25,152.05,24.71001,42.92999,140.78,89.39999,67.53999,71.37,256.59996
3/12/2007,64.37,152.50999,24.48,43.21001,140.99001,89.75,67.63,71.66991,254.92
3/13/2007,63.72,149.78999,24.28999,42.37,138.25,90.28999,66.34,69.95,259.92
3/14/2007,63.94,150.42999,24.34,42.99001,139.28,89.88,66.64999,70.5,256.48
3/15/2007,63.98,151.09,24.19,42.89,139.47,89.87,67.03999,71.209,256.96004
3/16/2007,64.62,149.73,24.25,42.83,138.53,89.85001,66.71001,70.82001,257.48
3/19/2007,64.74001,151.39999,24.37,43.27,140.2,89.66,67.39999,71.50999,254.8
3/20/2007,65.27,152.49001,24.39999,43.58,140.97,89.71001,67.91,72.10001,253.28004
3/21/2007,65.82001,154.67,24.44,44.42,143.28999,89.75,69.13,73.3,248.12
3/22/2007,65.75999,155.17999,24.84,44.25999,143.17999,89.03999,69.23,73.24001,248.68
3/23/2007,65.14999,155.60001,24.85001,44.12,143.39,88.78999,69.35001,73.3,249.11964
3/26/2007,65.84,155.08,24.96001,44.3,143.2,88.89999,68.84,73.22,248.71996
3/27/2007,65.7,154.99001,25.03,43.99001,142.86,88.75,68.7,72.78999,248.03996
3/28/2007,66.05,154.3,25.27,43.52,141.82001,88.57001,68.27,72.25999,250.88
3/29/2007,65.64999,153.82001,25.75999,43.57001,141.97,88.45,68.52,72.45,250.76
3/30/2007,65.74001,154.57001,25.37759,43.53,142,88.28,68.39,72.5,251.3196
4/2/2007,65.85001,154.85001,25.13,43.59,142.16,88.10001,68.48,72.75,251.15996
4/3/2007,65.83,156.12,25.03,44.16,143.69,87.99001,69.16,73.48,247.68
4/4/2007,66.81,156.3,25.31,44.34,143.85001,88.08,69.11,73.28999,247.4796
4/5/2007,66.86,156.25,25.36,44.56,144.24001,87.75,69.25999,73.4599,245.59996
4/9/2007,66.53,156.95,25.10001,44.45,144.44,87.17,69.36,73.31,246.59996
4/10/2007,67.16,157.35001,25.45,44.67999,144.61,87.42999,69.55,73.62,245.2
4/11/2007,67.08,156.41,25.41,44.21001,144.02,87.37,69.16,73.14,247.8
4/12/2007,66.99001,157.5,25.56,44.56,144.66,87.39,69.46001,73.48,245.92
4/13/2007,67.84,157.95,25.7,44.64999,145.32001,87.12,69.77,73.81,245.52
